episode,timestep,action1,action2,action3,action4,action5,action6,action1_min,action2_min,action3_min,action4_min,action5_min,action6_min,action1_max,action2_max,action3_max,action4_max,action5_max,action6_max,pyb_action1,pyb_action2,pyb_action3,pyb_action4,pyb_action5,pyb_action6,pyb_action1_min,pyb_action2_min,pyb_action3_min,pyb_action4_min,pyb_action5_min,pyb_action6_min,pyb_action1_max,pyb_action2_max,pyb_action3_max,pyb_action4_max,pyb_action5_max,pyb_action6_max,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,desired_joint1_pos,desired_joint2_pos,desired_joint3_pos,desired_joint4_pos,desired_joint5_pos,desired_joint6_pos,joint1_vel,joint2_vel,joint3_vel,joint4_vel,joint5_vel,joint6_vel,joint1_tor,joint2_tor,joint3_tor,joint4_tor,joint5_tor,joint6_tor,joint1_min,joint2_min,joint3_min,joint4_min,joint5_min,joint6_min,joint1_max,joint2_max,joint3_max,joint4_max,joint5_max,joint6_max,reward,return,distance,orientation,goal_x,goal_y,goal_z,tip_x,tip_y,tip_z,goal_yaw,goal_pitch,goal_roll,tip_yaw,tip_pitch,tip_roll,done,term1,term2,vel_dist,vel_pos,collision,acc_dist,acc_pos
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.0767663113627257,-1.2931454564917448,1.0109715561585062,-1.3537631385952802,-0.07158576875600929,0.0,0.16533980787885644,-1.2931458041875956,1.0109710760673565,-1.3537670644267163,-0.07158577010132992,0.0,2.36196021905235,-9.27615953669192e-06,2.3889748424599233e-05,0.00019178308416556433,-4.2185178359202546e-08,0.0,-0.15679383856296775,0.08573633339401865,-0.6457827451636982,0.02474291377847204,-0.009441282439884633,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17004101337880326,-0.17004101337880326,0.17004101337880326,1.763986316663468,0.14,0.0,0.26,0.005577900055560637,0.0004290379267261027,0.36413674281383557,-0.7853981633974483,0.0,-1.5707963267948966,0.004665733688637353,-0.06497364040650613,0.005028914134255798,0.0,0.0,0.0,-0.003005739900141524,0.08245700904517086,0.0,-0.7213775760339658,19.789682170841008
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.13819281486071905,-1.2931450850474426,1.0109720363075863,-1.3537592090196409,-0.07158576735049241,0.0,0.22676631136272574,-1.2931454564917448,1.0109715561585062,-1.3537631385952802,-0.07158576875600929,0.0,2.3619602218450013,-9.90949389489959e-06,2.38886470136368e-05,0.0001916924592870739,-4.672713270655049e-08,0.0,-0.15679397283610083,0.0857341450070245,-0.6457848099892514,0.024740986482933932,-0.00944128549721116,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17007085693526813,-0.3401118703140714,0.17007085693526813,1.8190697417114552,0.14,0.0,0.26,0.005541648151703736,0.000770728480722156,0.3641367081030758,-0.7853981633974483,0.0,-1.5707963267948966,0.00466539017815912,-0.06496887154131828,0.06645544133739392,0.0,0.0,0.0,-0.0071624535515701915,0.08246598243072885,0.0,-0.9976112763428802,0.002153612533916105
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.1996193183800334,-1.2931447136081646,1.0109725164646763,-1.3537552793182555,-0.07158576595859834,0.0,0.28819281486071907,-1.2931450850474426,1.0109720363075863,-1.3537592090196409,-0.07158576735049241,0.0,2.3619602224725136,-9.909375590810843e-06,2.388901463246107e-05,0.00019169803275771724,-4.7447209451201115e-08,0.0,-0.15679410850274858,0.08573149556167856,-0.6457871399026403,0.024738880315285167,-0.00944128849223468,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17011790714566374,-0.5102297774597352,0.17011790714566374,1.874547455139922,0.14,0.0,0.26,0.0054844826593757195,0.0011095862082488059,0.36413667338959577,-0.7853981633974483,0.0,-1.5707963267948966,0.004665046659547209,-0.0649641025476576,0.1278819685471529,0.0,0.0,0.0,-0.011292050494946526,0.08247499841300365,0.0,-0.9911032664103203,0.0021638357459530244
1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.2610458219075095,-1.293144342160761,1.0109729966298036,-1.353751349498527,-0.07158576457159062,0.0,0.34961931838003346,-1.2931447136081646,1.0109725164646763,-1.3537552793182555,-0.07158576595859834,0.0,2.3619602227233467,-9.909598128993169e-06,2.3889381459862857e-05,0.00019170328465752118,-4.7717209434184477e-08,0.0,-0.15679424431793856,0.08572884375248972,-0.6457894713463068,0.024736772982690777,-0.009441291465393575,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17018197608989608,-0.6804117535496312,0.17018197608989608,1.9303854626589003,0.14,0.0,0.26,0.005406614663574482,0.0014443321559115905,0.36413663867326346,-0.7853981633974483,0.0,-1.5707963267948966,0.004664703131818379,-0.06495933341980516,0.189308495759155,0.0,0.0,0.0,-0.015376546615759601,0.08248401460909928,0.0,-0.980279068995138,0.0021638870629503426
1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.3224723254383048,-1.293143970705175,1.0109734768029695,-1.3537474195638892,-0.07158576318626676,0.0,0.41104582190750955,-1.293144342160761,1.0109729966298036,-1.353751349498527,-0.07158576457159062,0.0,2.361960222835088,-9.909818548592408e-06,2.3889748364480656e-05,0.00019170843815681515,-4.7820782208239654e-08,0.0,-0.15679438021910075,0.08572619062463409,-0.6457918036427679,0.024734665001693138,-0.009441294427089412,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.1702628067353165,-0.8506745602849477,0.1702628067353165,1.9865533830796678,0.14,0.0,0.26,0.005308333392952863,0.0017737026021045197,0.364136603954052,-0.7853981633974483,0.0,-1.5707963267948966,0.004664359595006737,-0.06495456416114381,0.25073502297175115,0.0,0.0,0.0,-0.019399354900899723,0.08249303104323036,0.0,-0.9654739884336294,0.002163944191458933
1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.38389882897063404,-1.293143599241384,1.010973956984176,-1.3537434895155962,-0.0715857618014454,0.0,0.4724723254383048,-1.293143970705175,1.0109734768029695,-1.3537474195638892,-0.07158576318626676,0.0,2.361960222895559,-9.910038246407904e-06,2.389011533016072e-05,0.00019171355578989635,-4.7863015066726064e-08,0.0,-0.15679451617541598,0.08572353678296696,-0.6457941364087418,0.02473255665851603,-0.009441297382517352,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.1703600742012748,-1.0210346344862224,0.1703600742012748,2.043024006151431,0.14,0.0,0.26,0.005190005148691754,0.0020964538280197073,0.36413656923195176,-0.7853981633974483,0.0,-1.5707963267948966,0.004664016049123767,-0.06494979477290447,0.31216155018433417,0.0,0.0,0.0,-0.02334419182999481,0.08250204771578173,0.0,-0.9467608629828206,0.0021640014123303075
1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.4453253325038393,-1.2931432277693802,1.0109744371734248,-1.3537395593541026,-0.07158576041669054,0.0,0.5338988289706341,-1.293143599241384,1.010973956984176,-1.3537434895155962,-0.0715857618014454,0.0,2.361960222937133,-9.910257661199795e-06,2.3890482338806418e-05,0.0001917186604765142,-4.788264445891328e-08,0.0,-0.15679465217107277,0.08572088252567728,-0.6457964694553634,0.024730448094185994,-0.009441300334393521,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17047338735680098,-1.1915080218430234,0.17047338735680098,2.099772909650307,0.14,0.0,0.26,0.005052071939316715,0.0024113668139650914,0.36413653450695904,-0.7853981633974483,0.0,-1.5707963267948966,0.004663672494172994,-0.06494502525553376,0.37358807739668054,0.0,0.0,0.0,-0.02719515732628297,0.08251106462693601,0.0,-0.9242317191091587,0.0021640586770266257
1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.5067518360376779,-1.2931428562891607,1.0109749173707168,-1.3537356290795703,-0.07158575903184122,0.0,0.5953253325038393,-1.2931432277693802,1.0109744371734248,-1.3537395593541026,-0.07158576041669054,0.0,2.361960222971744,-9.910476966051851e-06,2.3890849380259205e-05,0.00019172376058849971,-4.789394668835642e-08,0.0,-0.15679478819761491,0.08571822800725938,-0.6457988026848063,0.02472833938172246,-0.009441303284192185,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.1706022907358957,-1.3621103125789191,0.1706022907358957,2.156778127438171,0.14,0.0,0.26,0.004895049829707264,0.002717251843530363,0.3641364997790718,-0.7853981633974483,0.0,-1.5707963267948966,0.004663328930155291,-0.06494025560918994,0.4350146046087082,0.0,0.0,0.0,-0.030936810982731267,0.08252008177676533,0.0,-0.897996877547591,0.0021641159590357617
1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.5681783395720607,-1.2931424848007245,1.010975397576052,-1.3537316986920551,-0.07158575764683794,0.0,0.656751836037678,-1.2931428562891607,1.0109749173707168,-1.3537356290795703,-0.07158575903184122,0.0,2.3619602230037895,-9.910696237291905e-06,2.389121644047476e-05,0.00019172885916012017,-4.7902183018702464e-08,0.0,-0.15679492425037644,0.08571557331091903,-0.645801136044391,0.024726230560434236,-0.009441306232736249,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.17074626675512655,-1.5328565793340456,0.17074626675512655,2.2140198613368343,0.14,0.0,0.26,0.004719527010400766,0.003012952998213731,0.3641364650482899,-0.7853981633974483,0.0,-1.5707963267948966,0.004662985357070912,-0.06493548583392716,0.49644113182038707,0.0,0.0,0.0,-0.03455424461540568,0.08252909916528416,0.0,-0.8681840718418599,0.0021641732445187856
1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.037500000000000006,-0.15000000000000002,-0.07500000000000001,-0.07500000000000001,-0.07500000000000001,-0.15000000000000002,0.0,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15000000000000002,0.07500000000000001,0.6296048431069546,-1.2931421133040713,1.0109758777894315,-1.3537277681915743,-0.07158575626165867,0.0,0.7181783395720607,-1.2931424848007245,1.010975397576052,-1.3537316986920551,-0.07158575764683794,0.0,2.36196022303489,-9.910915486494032e-06,2.3891583501967073e-05,0.00019173395729857323,-4.7909291934914236e-08,0.0,-0.15679506032672091,0.0857129184827982,-0.645803469504928,0.024724121652117226,-0.009441309180493894,0.0,-2.6,-1.5,-1.5,-1.7,-2.6,0.0,2.6,0.8,1.5,1.7,2.6,0.0,-0.1709047382160513,-1.703761317550097,0.1709047382160513,2.271480230663688,0.14,0.0,0.26,0.004526161594390217,0.0032973525255288573,0.36413643031461246,-0.7853981633974483,0.0,-1.5707963267948966,0.004662641774919431,-0.06493071592976243,0.5578676590317067,0.0,0.0,0.0,-0.038033150621936684,0.08253811679254543,0.0,-0.8349374415674404,0.0021642305427049813
